episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
77,Q071,0.3687,7,5,accepted,1,1.0,40.287,3728,420,90,0.015303,-0.46945,nan,-0.489087,-0.508683,-0.592755,True
78,Q003,0.0208,10,6,accepted,1,0.75,36.051,5962,430,92,0.007999,-0.512263,nan,-0.545539,-0.497095,-0.566976,True
79,Q063,0.6249,4,2,accepted,1,1.0,23.456,629,434,93,0.008406,-0.498229,nan,-0.605387,-0.465629,-0.617073,True
80,Q025,0.1865,7,4,accepted,1,0.75,34.997,3892,441,95,0.007491,-0.51902,nan,-0.530982,-0.474934,-0.568759,True
81,Q070,0.4656,4,3,accepted,1,1.0,26.125,1630,445,96,0.010031,-0.493457,nan,-0.48037,-0.466118,-0.612554,True
82,Q083,0.4382,4,3,accepted,1,0.75,48.779,3343,449,97,0.00836,-0.499099,nan,-0.493261,-0.445038,-0.595405,True
83,Q056,-0.4194,10,7,rejected,0,0.0,41.136,3698,459,99,0.005574,-0.526147,nan,-0.514352,-0.429357,-0.604843,True
84,Q013,0.5064,4,2,accepted,1,1.0,23.502,2073,463,100,0.006493,-0.524713,nan,-0.533643,-0.486239,-0.623034,True
85,Q058,0.5067,4,2,accepted,1,1.0,21.513,627,467,101,0.00463,-0.500861,nan,-0.50795,-0.503138,-0.622727,True
86,Q065,0.5397,4,3,accepted,1,1.0,24.155,1920,471,102,0.008717,-0.505777,nan,-0.452479,-0.469154,-0.58935,True
87,Q006,0.4249,4,3,accepted,1,1.0,26.237,2893,475,103,0.010954,-0.461491,nan,-0.45957,-0.490646,-0.56908,True
88,Q021,0.5472,4,2,accepted,1,1.0,41.134,816,479,104,0.005595,-0.537837,nan,-0.498577,-0.482546,-0.577323,True
89,Q031,0.5838,4,2,accepted,1,1.0,24.037,924,483,105,0.007828,-0.531693,nan,-0.528206,-0.526395,-0.578643,True
90,Q049,0.2264,7,4,accepted,1,0.6,34.349,4688,490,107,0.01038,-0.53277,nan,-0.514292,-0.509984,-0.612975,True
91,Q053,0.4697,7,4,accepted,1,1.0,43.681,4252,497,109,0.005363,-0.47768,nan,-0.511113,-0.426048,-0.593038,True
92,Q026,0.2416,7,4,accepted,1,0.6667,40.588,4713,504,111,0.01152,-0.470209,nan,-0.520546,-0.418927,-0.620512,True
93,Q066,0.6537,4,2,accepted,1,1.0,24.494,2105,508,112,0.005644,-0.513225,nan,-0.524685,-0.482569,-0.623463,True
94,Q049,0.1935,7,4,accepted,1,0.6667,28.563,1491,515,113,0.017662,-0.558575,nan,-0.472084,-0.515748,-0.609857,True
95,Q066,0.2383,10,6,accepted,1,1.0,33.235,6241,525,116,0.004979,-0.542422,nan,-0.485075,-0.533758,-0.633735,True
96,Q066,0.2313,10,6,accepted,1,1.0,32.89,6156,535,118,0.005525,-0.451649,nan,-0.43282,-0.483971,-0.531635,True
97,Q016,0.6613,4,2,accepted,1,1.0,20.965,2322,539,119,0.013807,-0.437083,nan,-0.405122,-0.498498,-0.495571,True
98,Q036,0.5499,4,2,accepted,1,1.0,26.782,748,543,120,0.007008,-0.518924,nan,-0.525864,-0.519172,-0.62907,True
99,Q081,0.5515,4,2,accepted,1,1.0,21.226,834,547,121,0.005708,-0.575775,nan,-0.595875,-0.516139,-0.650036,True
100,Q020,0.2334,4,2,accepted,1,0.8,28.442,677,551,122,0.007647,-0.56141,nan,-0.570901,-0.502337,-0.639126,True
101,Q064,0.5967,4,2,accepted,1,1.0,24.915,2165,555,123,0.00519,-0.462144,nan,-0.545806,-0.468589,-0.543417,True
102,Q039,0.6693,4,2,accepted,1,1.0,22.865,2358,559,124,0.008038,-0.447566,nan,-0.49214,-0.419891,-0.542834,True
103,Q068,0.2743,7,4,accepted,1,0.6,34.172,3964,566,126,0.009207,-0.548443,nan,-0.520227,-0.514053,-0.591713,True
104,Q042,0.7604,4,2,accepted,1,1.0,9.076,2411,570,127,0.006447,-0.554123,nan,-0.585728,-0.532028,-0.623443,True
105,Q039,0.6948,4,2,accepted,1,1.0,5.964,2057,574,128,0.005489,-0.567385,nan,-0.579022,-0.563539,-0.604924,True
106,Q046,0.6439,4,2,accepted,1,1.0,2.66,320,578,129,0.008669,-0.51266,nan,-0.514041,-0.511699,-0.543778,True
107,Q085,0.6179,4,2,accepted,1,1.0,17.451,380,582,130,0.007721,-0.518484,nan,-0.449257,-0.525744,-0.54948,True
108,Q063,0.6135,4,2,accepted,1,1.0,24.531,628,586,131,0.00731,-0.549429,nan,-0.521355,-0.493449,-0.569497,True
109,Q039,0.6974,4,2,accepted,1,1.0,6.412,1815,590,132,0.006748,-0.554446,nan,-0.512484,-0.531959,-0.615386,True
110,Q060,0.3544,4,2,accepted,1,0.75,25.982,1966,594,133,0.009248,-0.581162,nan,-0.497222,-0.553226,-0.683593,True
111,Q065,0.5688,4,2,accepted,1,1.0,24.598,639,598,134,0.010884,-0.571232,nan,-0.52781,-0.536111,-0.668308,True
112,Q024,0.6769,4,2,accepted,1,1.0,7.226,2690,602,135,0.009909,-0.49605,nan,-0.475187,-0.506232,-0.606778,True
113,Q086,0.5482,4,2,accepted,1,1.0,24.031,1908,606,136,0.010123,-0.519853,nan,-0.472794,-0.495017,-0.605354,True
114,Q039,0.7208,4,2,accepted,1,1.0,5.973,2071,610,137,0.00947,-0.479431,nan,-0.50539,-0.453609,-0.603929,True
115,Q014,0.6908,4,2,accepted,1,1.0,18.345,1769,614,138,0.007157,-0.515811,nan,-0.470568,-0.490733,-0.629485,True
116,Q003,0.2318,7,4,accepted,1,0.75,28.442,3094,621,140,0.008655,-0.541597,nan,-0.554642,-0.516833,-0.618622,True
117,Q003,0.172,7,4,accepted,1,0.6667,30.368,2390,628,142,0.007089,-0.579057,nan,-0.48471,-0.52365,-0.589347,True
118,Q017,0.5577,4,3,accepted,1,1.0,33.777,3218,632,143,0.008673,-0.509911,nan,-0.509087,-0.55274,-0.556647,True
119,Q037,-0.1389,10,6,accepted,1,0.5,33.535,3496,642,145,0.00883,-0.521804,nan,-0.585706,-0.598514,-0.618877,True
120,Q046,0.6771,4,2,accepted,1,1.0,2.888,320,646,146,0.006395,-0.491928,nan,-0.503769,-0.526948,-0.558039,True
121,Q047,0.0342,10,6,accepted,1,0.6667,18.774,4290,656,149,0.007201,-0.501981,nan,-0.511339,-0.532472,-0.597749,True
122,Q004,0.063,10,6,accepted,1,0.5,35.033,1990,666,151,0.007728,-0.554561,nan,-0.491039,-0.510077,-0.567116,True
123,Q065,0.5902,4,2,accepted,1,1.0,5.091,1716,670,152,0.008753,-0.532097,nan,-0.507178,-0.517475,-0.593106,True
124,Q054,-0.37,10,6,accepted,1,0.5,30.451,2427,680,155,0.005957,-0.557611,nan,-0.509825,-0.50896,-0.59445,True
125,Q040,0.5313,4,2,accepted,1,1.0,28.692,826,684,156,0.010804,-0.59442,nan,-0.553104,-0.557857,-0.572306,True
126,Q064,0.6623,4,2,accepted,1,1.0,26.693,1419,688,157,0.004328,-0.553239,nan,-0.544297,-0.515054,-0.554513,True
127,Q043,0.5977,4,2,accepted,1,1.0,26.354,806,692,158,0.005886,-0.49283,nan,-0.50851,-0.504336,-0.538098,True
128,Q011,0.5494,4,2,accepted,1,1.0,32.661,950,696,159,0.006564,-0.471271,nan,-0.501112,-0.483045,-0.559567,True
129,Q083,0.3725,7,4,accepted,1,1.0,52.37,1423,703,160,0.007331,-0.508884,nan,-0.48948,-0.504802,-0.515509,True
130,Q073,0.5582,4,2,accepted,1,0.8571,32.603,1810,707,161,0.012647,-0.492766,nan,-0.438966,-0.542847,-0.557116,True
131,Q018,0.4583,4,2,accepted,1,1.0,35.549,486,711,162,0.011485,-0.532088,nan,-0.496947,-0.538399,-0.577505,True
132,Q056,0.6026,4,2,accepted,1,1.0,35.708,605,715,163,0.006782,-0.58425,nan,-0.560625,-0.507614,-0.61387,True
133,Q051,0.6394,4,2,accepted,1,1.0,28.3,1433,719,164,0.008549,-0.516602,nan,-0.511364,-0.559373,-0.63822,True
134,Q021,0.5606,4,2,accepted,1,1.0,43.987,714,723,165,0.007723,-0.512591,nan,-0.501022,-0.509068,-0.598059,True
135,Q086,0.5614,4,2,accepted,1,1.0,27.272,1288,727,166,0.008883,-0.522972,nan,-0.520885,-0.536697,-0.605772,True
136,Q085,0.617,4,2,accepted,1,1.0,19.457,380,731,167,0.004918,-0.482532,nan,-0.526307,-0.497302,-0.583152,True
137,Q073,0.5437,4,2,accepted,1,0.8571,27.586,1445,735,168,0.006936,-0.492499,nan,-0.540621,-0.486946,-0.574623,True
138,Q017,0.5545,4,2,accepted,1,1.0,25.38,1208,739,169,0.008735,-0.526096,nan,-0.469711,-0.50528,-0.608924,True
139,Q002,0.6533,4,2,accepted,1,1.0,27.441,1475,743,170,0.003287,-0.511751,nan,-0.540607,-0.564433,-0.616493,True
140,Q014,0.6429,4,2,accepted,1,1.0,19.798,1211,747,171,0.002295,-0.510281,nan,-0.561039,-0.533598,-0.585914,True
141,Q050,0.4779,4,2,accepted,1,0.6667,27.71,465,751,172,0.006356,-0.499851,nan,-0.473428,-0.524737,-0.594518,True
142,Q068,0.3836,4,2,accepted,1,0.5,24.971,1162,755,173,0.005119,-0.456109,nan,-0.456895,-0.496099,-0.593994,True
143,Q078,0.5735,4,2,accepted,1,1.0,20.732,1378,759,174,0.00461,-0.48893,nan,-0.478304,-0.558409,-0.626441,True
144,Q078,0.6003,4,2,accepted,1,1.0,18.579,1288,763,175,0.004241,-0.511744,nan,-0.497726,-0.488753,-0.685659,True
145,Q023,0.5714,4,2,accepted,1,1.0,22.824,809,767,176,0.012375,-0.500146,nan,-0.462896,-0.586474,-0.615456,True
146,Q068,0.5423,4,2,accepted,1,0.8,25.093,1788,771,177,0.005627,-0.534376,nan,-0.522819,-0.543886,-0.598211,True
147,Q063,0.6205,4,2,accepted,1,1.0,22.151,666,775,178,0.005474,-0.508899,nan,-0.450037,-0.546137,-0.5902,True
148,Q053,0.5591,4,2,accepted,1,1.0,23.579,587,779,179,0.010635,-0.515968,nan,-0.463803,-0.489793,-0.603331,True
149,Q075,0.415,4,2,accepted,1,1.0,24.829,551,783,180,0.011778,-0.528745,nan,-0.472554,-0.493712,-0.609496,True
150,Q008,0.4381,4,2,accepted,1,1.0,21.006,334,787,181,0.012922,-0.469103,nan,-0.434239,-0.485128,-0.607022,True
151,Q046,0.6738,4,2,accepted,1,1.0,2.788,2037,791,182,0.012094,-0.494709,nan,-0.457722,-0.486091,-0.598861,True
152,Q012,0.462,4,2,accepted,1,0.6667,40.552,917,795,183,0.010056,-0.438378,nan,-0.506415,-0.54133,-0.629259,True
153,Q050,0.4815,4,2,accepted,1,0.5,23.699,720,799,184,0.009304,-0.502495,nan,-0.477636,-0.549591,-0.604775,True
154,Q011,0.718,4,2,accepted,1,1.0,25.646,2250,803,185,0.006913,-0.501647,nan,-0.512893,-0.555779,-0.659992,True
155,Q028,0.2908,4,2,accepted,1,0.5,19.181,1450,807,186,0.007608,-0.459865,nan,-0.534601,-0.543624,-0.588122,True
156,Q080,-0.968,12,4,timeout,0,0.0,7.164,2382,819,189,0.012763,-0.462743,nan,-0.518762,-0.470655,-0.61374,True
157,Q020,0.252,4,2,accepted,1,0.6667,22.216,585,823,190,0.014321,-0.504273,nan,-0.523755,-0.541524,-0.690174,True
158,Q058,0.5306,4,2,accepted,1,1.0,21.412,567,827,191,0.007767,-0.575949,nan,-0.610247,-0.597951,-0.684149,True
159,Q026,0.4615,4,2,accepted,1,0.6667,30.424,2362,831,192,0.008862,-0.482186,nan,-0.532336,-0.547888,-0.650686,True
160,Q014,0.6828,4,2,accepted,1,1.0,17.491,1673,835,193,0.006221,-0.390978,nan,-0.425206,-0.474664,-0.598701,True
161,Q027,0.4589,4,2,accepted,1,1.0,21.086,553,839,194,0.007988,-0.392249,nan,-0.438905,-0.480792,-0.553331,True
162,Q016,0.5516,4,2,accepted,1,1.0,18.353,568,843,195,0.009045,-0.376324,nan,-0.472743,-0.48482,-0.62239,True
163,Q082,0.4528,4,2,accepted,1,0.75,24.253,2086,847,196,0.004425,-0.526557,nan,-0.481327,-0.548682,-0.65858,True
164,Q045,0.5966,4,2,accepted,1,0.8333,25.863,2059,851,197,0.013173,-0.446151,nan,-0.459587,-0.551595,-0.662248,True
165,Q044,0.6498,4,2,accepted,1,1.0,17.359,2201,855,198,0.014855,-0.493899,nan,-0.500621,-0.52072,-0.582576,True
166,Q038,0.6349,4,2,accepted,1,1.0,24.288,738,859,199,0.008044,-0.408381,nan,-0.395368,-0.531842,-0.587334,True
167,Q054,0.1001,4,2,accepted,1,0.5,22.515,1588,863,200,0.011753,-0.355814,nan,-0.487873,-0.541956,-0.583311,True
168,Q001,0.5315,4,2,accepted,1,1.0,19.518,417,867,201,0.009345,-0.463068,nan,-0.512451,-0.549848,-0.603862,True
169,Q014,0.6893,4,2,accepted,1,1.0,17.12,1761,871,202,0.004756,-0.457504,nan,-0.524206,-0.556309,-0.620648,True
170,Q065,0.5469,4,2,accepted,1,1.0,19.909,607,875,203,0.016113,-0.481399,nan,-0.49092,-0.52326,-0.636001,True
171,Q063,0.6106,4,2,accepted,1,1.0,20.769,585,879,204,0.008702,-0.372837,nan,-0.547237,-0.504092,-0.652198,True
172,Q013,0.4845,4,2,accepted,1,1.0,21.929,2526,883,205,0.006559,-0.412839,nan,-0.527219,-0.468783,-0.614665,True
