episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
83,Q015,0.3644,4,2,accepted,1,1.0,7.993,1466,340,139,0.009404,-0.552334,nan,-0.524219,-0.386274,-0.521292,True
84,Q054,-0.0682,4,3,accepted,1,0.5,24.003,3229,344,141,0.005297,-0.612683,nan,-0.566179,-0.483759,-0.632484,True
85,Q068,0.3596,4,3,accepted,1,0.6667,12.414,3230,348,143,0.00456,-0.576277,nan,-0.554903,-0.445856,-0.614438,True
86,Q067,0.5004,4,2,accepted,1,1.0,3.436,1535,352,145,0.00487,-0.550952,nan,-0.491106,-0.403172,-0.612637,True
87,Q049,-1.1018,12,4,timeout,0,0.0,28.377,5149,364,151,0.003649,-0.600878,nan,-0.495953,-0.407369,-0.569792,True
88,Q023,0.4798,4,3,accepted,1,1.0,18.191,4087,368,153,0.004712,-0.628313,nan,-0.55657,-0.48535,-0.582605,True
89,Q066,0.4778,4,3,accepted,1,1.0,14.612,4829,372,155,0.00377,-0.604082,nan,-0.528234,-0.475026,-0.593268,True
90,Q051,0.3581,4,2,accepted,1,0.6667,9.096,1558,376,157,0.008213,-0.528847,nan,-0.42715,-0.44601,-0.597582,True
91,Q035,0.1776,9,5,accepted,1,1.0,39.21,3411,385,161,0.00599,-0.570161,nan,-0.503481,-0.457124,-0.615815,True
92,Q065,0.5313,4,2,accepted,1,1.0,7.247,2056,389,163,0.002033,-0.599445,nan,-0.519742,-0.467212,-0.564487,True
93,Q014,0.5323,4,2,accepted,1,1.0,7.824,1389,393,165,0.003416,-0.627927,nan,-0.500992,-0.474993,-0.644175,True
94,Q036,0.4215,4,2,accepted,1,0.8333,11.403,2625,397,167,0.006912,-0.557442,nan,-0.46208,-0.416619,-0.512743,True
95,Q068,0.3763,4,3,accepted,1,0.6667,33.786,3504,401,169,0.004366,-0.618213,nan,-0.465806,-0.444784,-0.565713,True
