episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
142,Q081,0.5401,4,3,accepted,1,1.0,23.558,2085,589,263,0.005409,-0.514269,nan,-0.389162,-0.559926,-0.631755,True
143,Q008,0.5437,4,2,accepted,1,1.0,5.321,2849,593,265,0.005067,-0.574635,nan,-0.472735,-0.630593,-0.679325,True
144,Q010,0.3392,4,3,accepted,1,0.5,29.34,2951,597,267,0.002885,-0.521149,nan,-0.452028,-0.567624,-0.69526,True
145,Q065,-0.5164,10,6,rejected,0,0.5,21.932,10288,607,272,0.002525,-0.567467,nan,-0.510207,-0.647624,-0.701543,True
146,Q070,0.4779,4,2,accepted,1,1.0,6.093,3291,611,274,0.005641,-0.496024,nan,-0.450321,-0.5613,-0.620221,True
147,Q056,-1.0811,12,6,timeout,0,0.0,38.659,5219,623,280,0.005195,-0.526161,nan,-0.414521,-0.571523,-0.685688,True
148,Q005,0.6842,4,2,accepted,1,1.0,4.487,3164,627,282,0.007462,-0.481742,nan,-0.38345,-0.546586,-0.58512,True
149,Q079,0.4222,4,2,accepted,1,1.0,5.402,2693,631,284,0.006805,-0.545908,nan,-0.48356,-0.601935,-0.708712,True
150,Q070,0.4627,4,2,accepted,1,1.0,6.495,3631,635,286,0.005036,-0.533418,nan,-0.495877,-0.584082,-0.66597,True
151,Q014,0.5021,4,2,accepted,1,1.0,9.463,3755,639,288,0.005684,-0.477465,nan,-0.432635,-0.55759,-0.591673,True
152,Q076,0.6914,4,2,accepted,1,1.0,7.977,3357,643,290,0.005165,-0.516498,nan,-0.469401,-0.580971,-0.615847,True
153,Q070,0.4417,4,2,accepted,1,1.0,7.671,3651,647,292,0.0072,-0.528773,nan,-0.479897,-0.584971,-0.649569,True
154,Q011,0.6185,4,2,accepted,1,1.0,8.268,4049,651,294,0.00252,-0.440533,nan,-0.401027,-0.531512,-0.585337,True
155,Q059,0.4354,4,2,accepted,1,1.0,4.322,3756,655,296,0.007313,-0.496042,nan,-0.43167,-0.550415,-0.645029,True
156,Q076,0.673,4,2,accepted,1,1.0,7.697,3742,659,298,0.015814,-0.540215,nan,-0.471747,-0.617071,-0.672186,True
