episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
70,Q053,0.58,4,3,accepted,1,1.0,29.065,2564,320,65,0.022699,-0.028505,nan,-0.034606,-0.215971,-0.348477,True
71,Q014,0.6313,4,3,accepted,1,1.0,23.287,2556,324,66,0.042164,0.030395,nan,-0.018115,-0.211242,-0.755561,True
72,Q044,0.5307,4,3,accepted,1,1.0,22.826,2142,328,67,0.026201,0.111152,nan,0.071344,-0.104296,-0.574918,True
73,Q058,0.5267,4,3,accepted,1,1.0,25.646,2001,332,68,0.020647,0.176748,nan,0.076186,-0.078162,-0.491424,True
74,Q046,0.7365,4,3,accepted,1,1.0,20.284,1652,336,69,0.018601,0.178043,nan,0.15121,-0.049861,-0.580445,True
75,Q058,0.5756,4,3,accepted,1,1.0,24.544,1956,340,70,0.017195,0.181043,nan,0.085195,-0.044235,-0.650913,True
76,Q001,0.5396,4,3,accepted,1,1.0,24.21,1703,344,71,0.03409,0.200256,nan,0.04344,-0.050481,-0.664283,True
77,Q015,0.5373,4,3,accepted,1,1.0,24.546,2223,348,72,0.04389,0.123302,nan,0.060001,-0.091536,-0.548382,True
78,Q005,0.5574,4,3,accepted,1,1.0,26.041,2066,352,73,0.014492,0.107369,nan,-0.049365,-0.170317,-0.483371,True
79,Q003,0.3688,4,3,accepted,1,0.6667,22.594,2186,356,74,0.017421,0.050002,nan,-0.001921,-0.196373,-0.54585,True
80,Q032,0.5603,4,3,accepted,1,1.0,22.501,1828,360,75,0.008951,0.003352,nan,-0.076882,-0.200029,-0.626755,True
81,Q080,-0.4627,10,7,rejected,0,0.0,27.081,2284,370,77,0.019746,0.064367,nan,-0.031012,-0.267787,-0.528569,True
82,Q071,0.5819,4,3,accepted,1,1.0,26.367,1749,374,78,0.009969,0.050002,nan,0.000677,-0.165598,-0.631856,True
83,Q016,0.5789,4,3,accepted,1,1.0,22.404,2297,378,79,0.025935,0.10331,nan,0.011052,-0.209585,-0.506792,True
84,Q043,0.6445,4,3,accepted,1,1.0,28.29,2852,382,80,0.035842,0.130839,nan,0.045543,-0.180609,-0.532082,True
85,Q019,0.5388,4,3,accepted,1,1.0,33.363,2307,386,81,0.018389,0.115915,nan,0.03999,-0.152259,-0.542994,True
86,Q078,0.5279,4,3,accepted,1,1.0,22.763,1826,390,82,0.017655,0.10073,nan,0.010238,-0.116573,-0.611981,True
87,Q072,0.6526,4,3,accepted,1,1.0,23.627,1915,394,83,0.012999,0.061582,nan,-0.053101,-0.223821,-0.473756,True
88,Q051,0.5949,4,3,accepted,1,1.0,28.552,2470,398,84,0.015921,0.042273,nan,-0.06753,-0.235674,-0.579393,True
89,Q069,0.5564,4,3,accepted,1,1.0,26.885,1367,402,85,0.042754,0.036625,nan,-0.074389,-0.23118,-0.572323,True
90,Q044,0.534,4,3,accepted,1,1.0,19.844,2038,406,86,0.018676,0.053528,nan,-0.057451,-0.171288,-0.437783,True
91,Q034,0.538,4,3,accepted,1,1.0,44.374,2233,410,87,0.015874,0.077099,nan,-0.02493,-0.210583,-0.507344,True
92,Q003,0.3688,4,3,accepted,1,0.6667,25.731,2172,414,88,0.008005,0.106014,nan,-0.035323,-0.22726,-0.539362,True
93,Q073,0.4642,4,3,accepted,1,0.75,33.943,2316,418,89,0.010373,0.095582,nan,-0.050125,-0.148987,-0.493341,True
94,Q025,0.4407,4,3,accepted,1,0.6667,27.579,2376,422,90,0.016605,0.078545,nan,-0.058706,-0.273542,-0.531074,True
95,Q021,0.5516,4,3,accepted,1,1.0,43.868,2157,426,91,0.009912,0.098877,nan,-0.043327,-0.228165,-0.674796,True
96,Q087,0.683,4,3,accepted,1,1.0,26.006,2302,430,92,0.012192,0.114054,nan,-0.056717,-0.226789,-0.599368,True
97,Q037,0.4132,4,3,accepted,1,1.0,25.84,2228,434,93,0.02599,0.129616,nan,-0.002132,-0.189361,-0.568531,True
98,Q059,0.423,4,3,accepted,1,0.6667,31.531,2669,438,94,0.012761,0.111629,nan,-0.035792,-0.171128,-0.571466,True
99,Q065,0.6444,4,3,accepted,1,1.0,29.646,2024,442,95,0.01639,0.120954,nan,-0.043317,-0.172786,-0.585722,True
